Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Goalkeeper,Top Scorer,GF by Top Scorer,GF/90,GA/90,GD/90,GF by Top Scorer/90
16, Burnley 2016/2017,38,11,7,20,39,55,-16,40,1.05,0,0,0,0,"20,558",Tom Heaton,Sam Vokes , 10,1.03 ,1.45 ,-0.42 ,0.26 
17, Watford 2016/2017,38,11,7,20,40,68,-28,40,1.05,0,0,0,0,"20,571",Heurelho Gomes,Troy Deeney , 10,1.05 ,1.79 ,-0.74 ,0.26 
18, HulCity 2016/2017,38,9,7,22,37,80,-43,34,0.89,0,0,0,0,"20,761",Eldin Jakupovic,Robert Snodgrass , 7,0.97 ,2.11 ,-1.13 ,0.18 
19, Middlesbrough 2016/2017,38,5,13,20,27,53,-26,28,0.74,0,0,0,0,"30,449",Víctor Valdés,Álvaro Negredo , 9,0.71 ,1.39 ,-0.68 ,0.24 
20, Sunderland 2016/2017,38,6,6,26,29,69,-40,24,0.63,0,0,0,0,"41,287",Jordan Pickford,Jermain Defoe , 15,0.76 ,1.82 ,-1.05 ,0.39 
1, ManchesteCity 2017/2018,38,32,4,2,106,27,79,100,2.63,78.6,23.8,54.8,1.44,"54,070",Ederson,Sergio Agüero , 21,2.79 ,0.71 ,2.08 ,0.55 
2, Manchester Utd 2017/2018,38,25,6,7,68,28,40,81,2.13,55.7,40.7,15,0.4,"74,976",David de Gea,Romelu Lukaku , 16,1.79 ,0.74 ,1.05 ,0.42 
3, Tottenham 2017/2018,38,23,8,7,74,36,38,77,2.03,64.7,33.9,30.8,0.81,"67,953",Hugo Lloris,Harry Kane , 30,1.95 ,0.95 ,1.00 ,0.79 
4, Liverpool 2017/2018,38,21,12,5,84,38,46,75,1.97,72.9,33.8,39.1,1.03,"53,049","Loris Karius, Simon Mignolet",Mohamed Salah , 32,2.21 ,1.00 ,1.21 ,0.84 
5, Chelsea 2017/2018,38,21,7,10,62,38,24,70,1.84,54.4,33.8,20.6,0.54,"41,282",ThibauCourtois,Eden Hazard , 12,1.63 ,1.00 ,0.63 ,0.32 
6, Arsenal 2017/2018,38,19,6,13,74,51,23,63,1.66,68.3,47.8,20.5,0.54,"59,323",PetCech,Alexandre Lacazette , 14,1.95 ,1.34 ,0.61 ,0.37 
7, Burnley 2017/2018,38,14,12,12,36,39,-3,54,1.42,32.3,51.2,-18.9,-0.5,"20,688",Nick Pope,Chris Wood , 10,0.95 ,1.03 ,-0.08 ,0.26 
8, Everton 2017/2018,38,13,10,15,44,58,-14,49,1.29,40.5,52.4,-11.9,-0.31,"38,797",Jordan Pickford,Wayne Rooney , 10,1.16 ,1.53 ,-0.37 ,0.26 
9, LeicesteCity 2017/2018,38,12,11,15,56,60,-4,47,1.24,50,48.1,1.9,0.05,"31,583",Kasper Schmeichel,Jamie Vardy , 20,1.47 ,1.58 ,-0.11 ,0.53 
10, Newcastle Utd 2017/2018,38,12,8,18,39,47,-8,44,1.16,41.6,52.4,-10.8,-0.28,"51,992",RoElliot,Ayoze Pérez , 8,1.03 ,1.24 ,-0.21 ,0.21 
11, Crystal Palace 2017/2018,38,11,11,16,45,55,-10,44,1.16,53.5,48.2,5.2,0.14,"25,063",Wayne Hennessey,Luka Milivojevic , 10,1.18 ,1.45 ,-0.26 ,0.26 
12, Bournemouth 2017/2018,38,11,11,16,45,61,-16,44,1.16,38.8,59.2,-20.4,-0.54,"10,641",Asmir Begovic,"Joshua King, Callum Wilson ", 8,1.18 ,1.61 ,-0.42 ,0.21 
13, West Ham 2017/2018,38,10,12,16,48,68,-20,42,1.11,36.7,55.1,-18.4,-0.48,"56,885","Joe Hart, Adrián",Marko Arnautovic , 11,1.26 ,1.79 ,-0.53 ,0.29 
14, Watford 2017/2018,38,11,8,19,44,64,-20,41,1.08,45,51.8,-6.8,-0.18,"20,231",Heurelho Gomes,Abdoulaye Doucouré , 7,1.16 ,1.68 ,-0.53 ,0.18 
15, Brighton 2017/2018,38,9,13,16,34,54,-20,40,1.05,37,50.8,-13.8,-0.36,"30,403",Mathew Ryan,Glenn Murray , 12,0.89 ,1.42 ,-0.53 ,0.32 
16, Huddersfield 2017/2018,38,9,10,19,28,58,-30,37,0.97,31.3,48.5,-17.2,-0.45,"24,040",Jonas Lössl,Steve Mounié , 7,0.74 ,1.53 ,-0.79 ,0.18 
17, Southampton 2017/2018,38,7,15,16,37,56,-19,36,0.95,39.9,45.2,-5.3,-0.14,"30,794",Fraser Forster,Charlie Austin , 7,0.97 ,1.47 ,-0.50 ,0.18 
18, SwanseCity 2017/2018,38,8,9,21,28,56,-28,33,0.87,31.6,58.6,-27,-0.71,"20,623",Lukasz Fabianski,Jordan Ayew , 7,0.74 ,1.47 ,-0.74 ,0.18 
19, StokCity 2017/2018,38,7,12,19,35,68,-33,33,0.87,36.5,62.5,-26,-0.69,"29,280",Jack Butland,Xherdan Shaqiri , 8,0.92 ,1.79 ,-0.87 ,0.21 
20, West Brom 2017/2018,38,6,13,19,31,56,-25,31,0.82,36.5,47.9,-11.4,-0.3,"24,520",Ben Foster,"Jay Rodriguez, Salomón Rondón ", 7,0.82 ,1.47 ,-0.66 ,0.18 
1, ManchesteCity 2018/2019,38,32,2,4,95,23,72,98,2.58,84.3,24.7,59.6,1.57,"54,130",Ederson,Sergio Agüero , 21,2.50 ,0.61 ,1.89 ,0.55 
2, Liverpool 2018/2019,38,30,7,1,89,22,67,97,2.55,73.7,28.8,44.9,1.18,"52,983",Alisson,"Sadio Mané, Mohamed Salah ", 22,2.34 ,0.58 ,1.76 ,0.58 
